PREPA_FIN;;NA;160;160;160;160;160;160;NA;160;160;160;160;160;160
PREPA_JOURS_P-ETP_MIN;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PREPA_P-ETP_MIN;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PREPA_JOURS_PLUIE;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PREPA_HAUTEURS_PLUIE_MAX;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PREPA_HUMIDITE_SOL_MAX;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PREPA_EFFET_RUs;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PREPA_TEMPERATURE_MIN;;N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
PREPA_JOURS_TEMP_MIN;;N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
PREPA_TEMPERATURE_MAX;;N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
PREPA_JOURS_TEMP_MAX;;N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
PREPA_TEMPERATURE_MAX_INF;;N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
PREPA_JOURS_TEMP_MAX_INF;;N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
IS_REPRISE;;N;N;N;N;N;N;N;N;N;N;N;N;N;N
REPRISE_PASSAGES;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
REPRISE_OUTIL;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
REPRISE_AGRIW;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
REPRISE_NB_SOUS_PERIODES;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
REPRISE_TEMPS;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
REPRISE_DEBUT;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
REPRISE_FIN;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
REPRISE_JOURS_P-ETP_MIN;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
REPRISE_P-ETP_MIN;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
REPRISE_JOURS_PLUIE;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
REPRISE_HAUTEURS_PLUIE_MAX;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
REPRISE_HUMIDITE_SOL_MAX;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
REPRISE_EFFET_RUs;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
REPRISE_TEMPERATURE_MIN;;N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
REPRISE_JOURS_TEMP_MIN;;N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
REPRISE_TEMPERATURE_MAX;;N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
REPRISE_JOURS_TEMP_MAX;;N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
REPRISE_TEMPERATURE_MAX_INF;;N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
REPRISE_JOURS_TEMP_MAX_INF;;N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
IS_SEMIS;;O;O;O;O;O;O;O;O;O;O;O;O;O;O
SEMIS_PASSAGES;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SEMIS_OUTIL;;Semoir classique;Semoir classique;Semoir classique;Semoir classique;Semoir classique;Semoir classique;Semoir classique;Semoir classique;Semoir classique;Semoir classique;Semoir classique;Semoir classique;Semoir classique;Semoir classique
SEMIS_AGRIW;;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui
